Amenity,Price,Category
24 Hours Security,240.26666666666665,Luxury
24 hours Electricity,215.33333333333334,Standard
All Room Ensuit,215.33333333333334,Standard
Big Compound,240.26666666666665,Luxury
Boys Quater,75.82,Standard
C of O,66.3,Standard
CCTV Cameras,199.46666666666667,Standard
Cheap,70.26666666666667,Standard
Child Care,39.099999999999994,Basic
Children Play Ground,39.099999999999994,Basic
Drainage System,44.199999999999996,Basic
Elevator,289.0,Luxury
Excision,68.0,Standard
Fast Internet,52.13333333333333,Basic
Free Coffee,59.5,Basic
Free WiFi,60.06666666666666,Basic
Front Desk Service,112.2,Standard
Furnished,116.73333333333333,Standard
Governor's Consent,287.3,Luxury
Gym,275.4,Luxury
Jacuzzi,100.3,Standard
New,193.79999999999998,Standard
Ocean View,76.5,Standard
Office Supplies,90.66666666666667,Standard
Old,17.0,Basic
POP Ceiling,215.33333333333334,Standard
Parking Space,213.0666666666667,Standard
Printing Service,55.53333333333333,Basic
Restaurants Nearby,226.66666666666666,Luxury
Security,215.33333333333334,Standard
Security doors,199.46666666666667,Standard
Serviced,119.0,Standard
Survey,66.97999999999999,Standard
Swampy,17.0,Basic
Swimming Pool,235.73333333333335,Luxury
Water Treatment,275.4,Luxury
