Amenity,Price,Category
,308.0,Luxury
1 room,451.5,Luxury
1270 feet²,121.0,Basic
1292 feet²,157.0,Standard
1378 feet²,300.5,Standard
161 feet²,18.0,Basic
172 feet²,214.5,Standard
183 feet²,60.0,Basic
194 feet²,60.0,Basic
205 feet²,357.0,Luxury
215 feet²,72.0,Basic
237 feet²,357.0,Luxury
248 feet²,379.0,Luxury
258 feet²,283.5,Standard
280 feet²,255.0,Standard
301 feet²,397.3333333333333,Luxury
312 feet²,208.0,Standard
3229 feet²,145.0,Standard
4306 feet²,115.0,Basic
431 feet²,177.5,Standard
517 feet²,115.0,Basic
538 feet²,295.0,Standard
5382 feet²,125.0,Standard
592 feet²,209.0,Standard
800 feet²,67.0,Basic
915 feet²,345.0,Luxury
Air conditioning,186.2,Standard
Attached bathroom,193.5,Standard
Balcony,390.0,Luxury
Barbecue,208.0,Standard
Bathtub or shower,199.66666666666666,Standard
Board games/puzzles,57.0,Basic
CD player,67.0,Basic
Cable channels,63.5,Basic
Carbon monoxide detector,121.0,Basic
Carpeted,63.5,Basic
City view,82.33333333333333,Basic
Cleaning products,67.0,Basic
Clothes rack,343.0,Luxury
Coffee machine,417.0,Luxury
Dining table,303.3333333333333,Luxury
Drying rack for clothing,156.0,Standard
Electric kettle,306.5,Luxury
Entire apartment,156.0,Standard
Entire cabin,277.0,Standard
Entire unit located on ground floor,301.6,Luxury
Entire unit wheelchair accessible,145.0,Standard
Entire vacation home,121.0,Basic
Extra long beds (> 6.5 ft),195.66666666666666,Standard
Fan,279.8333333333333,Standard
Fireplace,139.0,Standard
Flat-screen TV,70.33333333333333,Basic
Free WiFi,168.2,Standard
Free toiletries,212.66666666666666,Standard
Garden view,251.0,Standard
Hairdryer,338.0,Luxury
Hand sanitizer,384.6666666666667,Luxury
Hardwood or parquet floors,78.5,Basic
Heating,289.4,Standard
Hot tub,90.0,Basic
Hypoallergenic,190.0,Standard
Inner courtyard view,67.0,Basic
Interconnecting room(s) available,238.0,Standard
Iron,67.0,Basic
Ironing facilities,146.6,Standard
Laptop safe,374.5,Luxury
Linens,176.57142857142858,Standard
Minibar,145.0,Standard
Mosquito net,285.0,Standard
Mountain view,330.3333333333333,Luxury
Outdoor dining area,303.3333333333333,Luxury
Outdoor furniture,387.4,Luxury
Patio,398.0,Luxury
Pool view,255.0,Standard
Pool with a view,115.0,Basic
Private Bathroom,191.33333333333334,Standard
Private apartment in building,67.0,Basic
Private entrance,328.4,Luxury
Private kitchen,144.33333333333334,Standard
Private kitchenette,277.0,Standard
Private suite,252.5,Standard
Safe,247.83333333333334,Standard
Satellite channels,83.0,Basic
Semi-detached,300.5,Standard
Single-room AC for guest accommodation,374.0,Luxury
Sitting area,291.6666666666667,Standard
Socket near the bed,257.3333333333333,Standard
Sofa bed,208.0,Standard
Soundproof,300.5,Standard
Streaming service (like Netflix),300.5,Standard
TV,86.0,Basic
Tea/Coffee maker,356.75,Luxury
Telephone,145.0,Standard
Terrace,392.75,Luxury
Tile/Marble floor,211.0,Standard
Toaster,207.0,Standard
Toilet paper,176.57142857142858,Standard
Towels,197.66666666666666,Standard
Towels/Sheets (extra fee),60.0,Basic
Upper floors accessible by elevator,90.0,Basic
Upper floors accessible by stairs only,214.25,Standard
View,50.0,Basic
Wake-up service,508.3333333333333,Luxury
Wake-up service/Alarm clock,145.0,Standard
Wardrobe or closet,129.6,Standard
Washing machine,201.0,Standard
Wireless internet,257.0,Standard
