Amenity,Price,Category
24 Hours Security,89743.0,Luxury
24 hours Electricity,92310.0,Luxury
Air Conditioning,1015.88,Basic
All Room Ensuit,9044.0,Standard
Big Compound,92055.0,Luxury
Boys Quater,5383.333333333333,Standard
C of O,105281.0,Luxury
CCTV Cameras,13441.333333333334,Standard
Child Care,8840.0,Standard
Children Play Ground,4986.666666666667,Basic
Downtown,1015.88,Basic
Drainage System,90015.0,Luxury
Elevator,15413.333333333334,Standard
Excision,4284.0,Basic
Fast Internet,4641.0,Basic
Free Coffee,1275.0,Basic
Free WiFi,6856.666666666667,Standard
Front Desk Service,87142.0,Luxury
Furnished,20581.333333333332,Standard
Governor's Consent,6913.333333333333,Standard
Gym,8443.333333333334,Standard
Jacuzzi,6913.333333333333,Standard
Location,1015.88,Basic
Near Highway,1619.3400000000001,Basic
New,10217.0,Standard
Ocean View,8443.333333333334,Standard
Office Supplies,7276.0,Standard
POP Ceiling,9044.0,Standard
Parking Space,92055.0,Luxury
Printing Service,8976.0,Standard
Restaurants Nearby,874.9333333333334,Basic
Satellite,1015.88,Basic
Security,91783.0,Luxury
Security doors,91936.0,Luxury
Serviced,22666.666666666668,Standard
Survey,88315.0,Luxury
Swimming Pool,17453.333333333332,Standard
Water Treatment,9610.666666666666,Standard
