Amenity,Price,Category
,0.25,Standard
1 Service elevator,0.05304638,Basic
10 min for Lekki-Epe express,2.046e-05,Basic
10 minutes from East Legon,0.12,Standard
107 sqm net floor area (First floor),0.168,Standard
137 sqm gross floor area (First floor),0.168,Standard
139 sqm net floor area (Ground  floor),0.168,Standard
155 sqm gross floor area (Ground floor),0.168,Standard
2 Car Garage,0.69679187125,Luxury
2 Escape stair cases,0.05304638,Basic
2 Resident elevators,0.05304638,Basic
2 bathrooms & 1 half bath (guest washroom),0.147,Standard
2 car ports,0.199,Standard
2 in number 6 persons elevator,0.06875,Basic
2 minutes from Police Station,0.12,Standard
2 parking bays,0.51,Luxury
200 gallon capacity poly tank installed,0.27,Standard
200 gallon capacity poly tank installed.,0.19,Standard
200-gallon capacity poly tank installed,0.2106,Standard
24 Hours Security,0.13149500000000003,Standard
24 hour concierge service,0.18945135000000002,Standard
24 hour power supply,0.18945135000000002,Standard
24 hour security,0.55,Luxury
24 hours Electricity,0.083895,Basic
24 hours power,0.05304638,Basic
24 hours security service,0.25,Standard
24 hours security with manned security post with all round electric fence,0.11,Standard
24 hr backup power,0.195,Standard
24 hr backup power & security,0.199,Standard
24 hr security,0.195,Standard
24/ 7 security,0.2106,Standard
24/7 Janitor,0.266615498,Standard
24/7 Security,0.5499592864444445,Luxury
24/7 man security service,0.06875,Basic
24/7 security,0.07130827666666667,Basic
24/7 water and power backup,0.06875,Basic
24/7 water supply,0.03,Basic
24hr Electricity,0.0666,Basic
24hr Security,0.23249999999999998,Standard
24hr backup energy,0.299,Standard
24hr security,0.14175000000000001,Standard
3 Bedrooms (Detached),0.147,Standard
3 Bedrooms all ensuite,0.25,Standard
3 car parking space for each terrace,0.08714762,Basic
3 face meter,0.2,Standard
3 parking bays,0.62,Luxury
3 parking bays per property,0.0,Basic
"3 plots of land; 40,000sqm each",2.046e-05,Basic
30-liter water heaters in bathrooms,0.125,Standard
4 Bedrooms (Detached),0.19425,Standard
"4-way console ready for Cable, Apple TV, home theater and gaming;",0.0,Basic
"4-way console ready for Cable, Apple TV, home theatre and gaming;",0.62,Luxury
"4-way console readyfor Cable, Apple TV, home theatre and gaming;",0.62,Luxury
4000-litre water tank farm,0.27,Standard
40ft X 70ft Plots,0.0065,Basic
4g internet service,0.03,Basic
50ft X 70ft Plots,0.008,Basic
80 year lease,0.008,Basic
80-year lease,0.0065,Basic
A big hall with dining area,0.09,Basic
A carport,0.09,Basic
A gated residential community within Appolonia City which covers a total area of 90 acres.,0.04575,Basic
A part of COOP City,2.046e-05,Basic
A sauna/steam room,0.03,Basic
A study room,0.11,Standard
A total of 44 apartments made up of 1 and 2 bedroom apartments and 3 bedroom maisonettes,0.05304638,Basic
AC,0.0666,Basic
ADSL,0.15501559347826085,Standard
ATM,0.000425278,Basic
Above 2nd Floor Level,0.258561516,Standard
Accessible by Boat,0.43597057800000005,Luxury
Adequate parking for 90 Cars,0.05304638,Basic
Air Conditioning,0.39149829333333336,Luxury
Air condition point in hall and master bedroom,0.065,Basic
Air conditioners,0.33999999999999997,Standard
Air conditioners in,0.2,Standard
Air conditioners in all rooms,0.25,Standard
Air conditioning in living room and bedrooms (optional),0.14,Standard
"Air conditioning installed in living, dinning and bedrooms",0.125,Standard
"Air conditions, DSTV & Internet ready",0.14175000000000001,Standard
Aircon,0.688909375,Luxury
Alarm,0.7209575,Luxury
Alarm System,0.3416642628571429,Standard
All Bedrooms en-suite,0.14,Standard
All Room Ensuit,0.09401000000000001,Basic
All of the rooms are en-suit,0.11,Standard
All of the rooms are en-suite,0.09,Basic
All rooms en-suite,0.1,Basic
All rooms en-sutie,0.12,Standard
Alone location,0.092405254,Basic
Alternate Power,0.1275,Standard
Aluminum glazed windows with screens.,0.08335859,Basic
Aluzinc roofing sheet,0.1,Basic
"Ample on ground parking bays, etc",0.06875,Basic
Ample parking,0.112,Standard
Ample space for landscaping,0.2106,Standard
Art Deco ,0.67651633,Luxury
Attic,0.8115447499999999,Luxury
Automated blinds and energy efficient lighting.,0.62,Luxury
Automatic Door,0.31628715,Standard
BATH TUB / SHOWER CUBICLE,0.38,Standard
BBQ,0.505505,Luxury
BTH TUB / SHOWER CUBICLE,0.465,Luxury
Back Porch,0.43979261555555554,Luxury
Back up generator,0.14175000000000001,Standard
Back up water reservoirs,0.14175000000000001,Standard
Back up water supply,0.55,Luxury
Back-up power,0.112,Standard
Back-up water and electricity supply,0.125,Standard
Backup Generator,0.8267540722222222,Luxury
Backup Water and Power Supply,0.36,Standard
Backup Water and Power supply,0.43,Luxury
Backup generator,0.20795000000000002,Standard
Balconies(2),0.25,Standard
Balconies(3),0.2,Standard
Balcony 1,0.18945135000000002,Standard
Balcony 2,0.18945135000000002,Standard
Balcony for master bedroom,0.19425,Standard
Ballet & Yoga studio,0.25,Standard
Barbecue Pit,0.32647040833333335,Standard
Barbeque,0.2030598571428571,Standard
Basement,0.31988527615384615,Standard
Basket ball,0.05304638,Basic
Basket ball court,0.03,Basic
Bay Window,0.20249703,Standard
Beach,0.5422532626923077,Luxury
Bedroom 1 & Bathroom,0.49,Luxury
Bedroom 2 & Bathroom,0.49,Luxury
Best selection of local primary and secondary schools are situated within the immediate neighborhood.,0.08335859,Basic
Big Compound,0.1377,Standard
Bike rack,0.25,Standard
Billards Rooms/ Lounge,0.05304638,Basic
Bio fill septic tanks,0.07,Basic
Biofil digesters for waste,0.08225846,Basic
Biofill,0.2,Standard
Borehole,0.2738555555555556,Standard
Bosh home appliances,0.199,Standard
Boundary wall,0.6274,Luxury
Bowling alley,0.25,Standard
Box room & Maids room,0.08714762,Basic
Boy's quarters,0.11,Standard
Boys Quarters,0.25,Standard
Boys Quater,0.12835,Standard
Boys Quatrers,0.36,Standard
Brick,0.3670966916,Standard
Building Age less than 1 year,0.23009823833333332,Standard
Building Age less than 10 year,0.2674307341666667,Standard
Building Age less than 20 year,0.20695319,Standard
Building Age less than 3 year,0.184898285,Standard
Building Age less than 5 year,0.25587208222222224,Standard
Built in wardrobe and kitchen cabinets,0.1,Basic
Built-in Kitchen,0.2621451077777778,Standard
Built-in wardrobes for master bedroom,0.19425,Standard
Built-in-Cupboards,0.0735,Basic
Bungalow,0.37402093545454546,Standard
Burglar proof,0.2,Standard
Burglar proof glazing windows/casement windows with nets,0.09,Basic
Bus Stop,0.60585765625,Luxury
C of O,0.19380000000000003,Standard
CATV/cable,0.667231192,Luxury
CCTV,0.6907969951999999,Luxury
CCTV Cameras,0.077945,Basic
