Amenity,Price,Category
,138.66666666666666,Standard
1023 feet²,620.0,Luxury
1076 feet²,374.0,Luxury
1346 feet²,72.0,Standard
161 feet²,61.0,Basic
172 feet²,85.0,Standard
190 feet²,41.0,Basic
194 feet²,150.0,Standard
215 feet²,153.0,Standard
226 feet²,170.0,Standard
237 feet²,60.0,Basic
250 feet²,54.0,Basic
258 feet²,99.0,Standard
269 feet²,37.5,Basic
344 feet²,120.0,Standard
377 feet²,140.0,Standard
409 feet²,120.0,Standard
452 feet²,215.0,Standard
506 feet²,560.0,Luxury
538 feet²,103.0,Standard
560 feet²,400.0,Luxury
861 feet²,500.0,Luxury
990 feet²,702.0,Luxury
Additional bathroom,168.0,Standard
Air conditioning,285.0,Standard
Air purifiers,45.0,Basic
Alarm clock,526.6666666666666,Luxury
Attached bathroom,444.3333333333333,Luxury
Baby safety gates,150.0,Standard
Balcony,330.5,Standard
Barbecue,150.0,Standard
Bathtub or shower,330.5,Standard
Bidet,99.0,Standard
Board games/puzzles,168.0,Standard
"Books, DVDs or music for children",150.0,Standard
Cable channels,95.0,Standard
Carbon monoxide detector,55.5,Basic
Carpeted,416.6666666666667,Luxury
Child safety socket covers,120.0,Standard
City view,47.0,Basic
Cleaning products,638.6666666666666,Luxury
Clothes rack,330.5,Standard
Coffee machine,70.0,Basic
Dining table,374.0,Luxury
Drying rack for clothing,150.0,Standard
Electric kettle,320.0,Standard
Entire apartment,61.0,Basic
Entire unit located on ground floor,89.0,Standard
Entire unit wheelchair accessible,89.0,Standard
Extra long beds (> 6.5 ft),54.0,Basic
Fan,264.3333333333333,Standard
Fireplace,168.0,Standard
Flat-screen TV,330.5,Standard
Fold-up bed,70.0,Basic
Free WiFi,351.25,Luxury
Free toiletries,53.666666666666664,Basic
Garden view,344.75,Luxury
Hand sanitizer,50.0,Basic
Heating,110.0,Standard
Hot tub,627.3333333333334,Luxury
Inner courtyard view,58.0,Basic
Interconnecting room(s) available,290.0,Standard
Iron,111.0,Standard
Ironing facilities,324.0,Standard
Lake view,140.0,Standard
Landmark view,70.0,Basic
Laptop safe,150.0,Standard
Linens,344.75,Luxury
Mosquito net,71.0,Basic
Mountain view,70.0,Basic
Outdoor dining area,70.0,Basic
Outdoor furniture,71.33333333333333,Basic
Pay-per-view channels,99.0,Standard
Pool with a view,702.0,Luxury
Private Bathroom,87.33333333333333,Standard
Private apartment in building,120.0,Standard
Private kitchen,61.0,Basic
Private kitchenette,500.0,Luxury
Private pool,702.0,Luxury
Private suite,661.0,Luxury
River view,337.0,Luxury
Satellite channels,416.6666666666667,Luxury
Sauna,175.0,Standard
Semi-detached,70.0,Basic
Shared toilet,21.0,Basic
Single-room AC for guest accommodation,331.25,Standard
Sitting area,324.0,Standard
Slippers,330.5,Standard
Socket near the bed,58.0,Basic
Sofa bed,374.0,Luxury
Soundproof,95.0,Standard
Streaming service (like Netflix),99.0,Standard
Suit press,150.0,Standard
TV,324.0,Standard
Tea/Coffee maker,627.3333333333334,Luxury
Telephone,426.3333333333333,Luxury
Terrace,95.0,Standard
Tile/Marble floor,58.0,Basic
Toaster,58.0,Basic
Toilet paper,351.25,Luxury
Towels,344.75,Luxury
Towels/Sheets (extra fee),87.0,Standard
Upper floors accessible by stairs only,98.0,Standard
View,70.5,Basic
Wake-up service,444.3333333333333,Luxury
Wake-up service/Alarm clock,150.0,Standard
Walk-in closet,90.0,Standard
Wardrobe or closet,324.0,Standard
Washing machine,48.0,Basic
