Amenity,Price,Category
24 hour electricity,0.221,Basic
24hours Security,0.221,Basic
Air Conditioning,780.0,Standard
Alarm system,2671.75,Luxury
Balcony,1037.3333333333333,Standard
Barbeque,1481.25,Standard
Built in wardrobes,1053.5,Standard
CCTV,2044.4166666666667,Standard
Cable TV,1534.0,Standard
Car port,1776.625,Standard
Ceiling fans,1411.625,Standard
Ceramic tiles,1699.4166666666667,Standard
DSTV,2221.3636363636365,Luxury
Electronic gates,2493.8888888888887,Luxury
Fitted Kitchen,676.0,Basic
Furnished,0.221,Basic
Garage,2071.75,Standard
Garden,676.0,Basic
Garden area,1091.5,Standard
Gym,2311.5,Luxury
Hot tab,1787.7777777777778,Standard
Internet,0.221,Basic
Lakeview,0.221,Basic
Laundry,2611.8,Luxury
Laundry room,520.0,Basic
Lots of parking,1116.2,Standard
Parking space,676.0,Basic
Paved Compound,676.0,Basic
Paved compound,992.6666666666666,Standard
Playground,2110.0,Luxury
Pond,2656.25,Luxury
Porch,1786.0,Standard
Private yard,1778.5714285714287,Standard
Satellite dish,1843.75,Standard
Sauna,2941.8571428571427,Luxury
Security guards,1256.8333333333333,Standard
Septic tank,1450.0,Standard
Servant quarter,676.0,Basic
Serviced,0.221,Basic
Soak pit,2038.2857142857142,Standard
Specious compound,1121.2,Standard
Stand by generator,3110.5714285714284,Luxury
Study room,442.0,Basic
Swimming pool,2660.0,Luxury
Tarmacked room,780.0,Standard
Tiled roof,974.7272727272727,Standard
Veranda,2307.2727272727275,Luxury
Wall fence,1013.5,Standard
Washing machine,2225.0,Luxury
Water fountain,2152.1666666666665,Luxury
Water tank,1790.0,Standard
WiFi,1418.1818181818182,Standard
